|class|order|family|genus|species|pollen unit|dispersal unit and peculiarities|size (pollen unit)|pollen class|polarity|shape|outline in polar view|shape (dry pollen)|outline in polar view (dry pollen)|infoldings (dry pollen)|aperture number|aperture type|aperture condition|aperture peculiarities|ornamentation LM|nexine|sexine|ornamentation SEM|tectum|infratectum|foot layer|endexine|intine|wall peculiarities|pollen coatings|reserves in cytoplasm|cell number|Ubisch bodies|how many figures?
0|Angiospermae|Asparagales|Xanthorrhoeaceae|Hemerocallis|Hemerocallis fulva|monad|monad|large (51-100 µm)|sulcate|heteropolar|oblate|elliptic|boat-shaped|elliptic|aperture(s) sunken|1|sulcus|sulcate|aperture membrane smooth|reticulate|-|-|reticulate, free-standing columellae|semitectate|columellate|continuous|compact-continuous|monolayered|-|pollenkitt|lipids|2-celled|absent|1
0|Angiospermae|Malpighiales|Violaceae|Viola|Viola tricolor|monad|monad|large (51-100 µm)|colporate|isopolar|oblate|quadrangular|prolate|quadrangular|interapertural area sunken|4|colporus|colporate, tetracolporate|-|scabrate|-|-|perforate|eutectate|granular|continuous|compact-continuous|monolayered|tenuitas|pollenkitt|starch|2-celled|present|4
0|Angiospermae|Rosales|Urticaceae|Parietaria|Parietaria officinalis|monad|monad|small (10-25 µm)|porate|isopolar|spheroidal|circular|irregular|irregular|irregularly infolded|3|porus|porate, triporate|operculum|scabrate|-|-|microechinate|eutectate|columellate|continuous|compact-continuous|monolayered|-|absent|starch|2-celled|present|4
0|Angiospermae|Rosales|Urticaceae|Urtica|Urtica dioica|monad|monad|small (10-25 µm)|porate|isopolar|spheroidal|circular|irregular|irregular|irregularly infolded|3|porus|porate, triporate|operculum, annulus, oncus|scabrate|-|-|microverrucate, microechinate|eutectate|columellate|absent|compact-continuous|monolayered|-|absent|starch|2-celled|present|4
0|Angiospermae|Rosales|Ulmaceae|Ulmus|Ulmus laevis|monad|monad|medium-sized (26-50 µm)|porate|heteropolar|spheroidal|circular|irregular|irregular|irregularly infolded|6|porus|porate|operculum|rugulate|-|-|rugulate, granulate|eutectate|granular|absent|compact-continuous|monolayered|-|absent|starch|3-celled|present|4
0|Angiospermae|Rosales|Ulmaceae|Ulmus|Ulmus minor|monad|monad|medium-sized (26-50 µm)|porate|heteropolar|spheroidal|circular|irregular|irregular|irregularly infolded|5|porus|porate|operculum|rugulate|-|-|verrucate, rugulate, granulate|eutectate|granular|absent|compact-continuous|monolayered|-|absent|starch|3-celled|present|4
0|Angiospermae|Solanales|Solanaceae|Atropa|Atropa bella-donna|monad|monad|medium-sized (26-50 µm)|colporate|isopolar|spheroidal|circular|prolate|lobate|aperture(s) sunken|3|colporus|colporate, tricolporate|-|striato-reticulate|-|-|striato-reticulate|eutectate|columellate|discontinuous|compact-continuous|monolayered|-|pollenkitt|starch|2-celled|present|4
0|Angiospermae|Solanales|Solanaceae|Datura|Datura stramonium|monad|monad|large (51-100 µm)|colpate|isopolar|spheroidal|circular|irregular|irregular|irregularly infolded|3|colpus|colpate, tricolpate|brevicolpus|scabrate|-|-|no suitable term|semitectate|columellate|discontinuous|compact-continuous|monolayered|-|pollenkitt|starch|2-celled|present|4
0|Angiospermae|Solanales|Solanaceae|Hyoscyamus|Hyoscyamus niger|monad|monad|large (51-100 µm)|colporate|isopolar|spheroidal|circular|prolate|lobate|aperture(s) sunken|3|colporus|colporate, tricolporate|-|-|-|-|reticulate, microechinate|-|-|-|-|-|-|-|-|2-celled|-|1
0|Angiospermae|Solanales|Solanaceae|Solanum|Solanum dulcamara|monad|monad|small (10-25 µm)|colporate|isopolar|spheroidal|circular|prolate|lobate|aperture(s) sunken|3|colporus|colporate, tricolporate|aperture membrane ornamented|psilate|-|-|fossulate, microechinate|eutectate|columellate|discontinuous|compact-continuous|monolayered|-|pollenkitt|-|2-celled|present|4
